URL;Season;Match_ID;Home;Away;Attendance
https://ligue1.com/fr/match-sheet/l1_championship_match_72573/infos;2024_2025;72573;Montpellier;Monaco;11371
https://ligue1.com/fr/match-sheet/l1_championship_match_72574/infos;2024_2025;72574;Reims;Le Havre;11278
https://ligue1.com/fr/match-sheet/l1_championship_match_72575/infos;2024_2025;72575;Rennes;Brest;28238
https://ligue1.com/fr/match-sheet/l1_championship_match_72576/infos;2024_2025;72576;Saint Etienne;Nantes;14094
https://ligue1.com/fr/match-sheet/l1_championship_match_72577/infos;2024_2025;72577;Auxerre;Saint Etienne;16805
https://ligue1.com/fr/match-sheet/l1_championship_match_72578/infos;2024_2025;72578;Le Havre;Brest;17898
https://ligue1.com/fr/match-sheet/l1_championship_match_72579/infos;2024_2025;72579;Lens;Angers;37321
https://ligue1.com/fr/match-sheet/l1_championship_match_72580/infos;2024_2025;72580;Monaco;Rennes;5725
https://ligue1.com/fr/match-sheet/l1_championship_match_72581/infos;2024_2025;72581;Nantes;Lyon;32690
https://ligue1.com/fr/match-sheet/l1_championship_match_72582/infos;2024_2025;72582;Nice;Marseille;31017
https://ligue1.com/fr/match-sheet/l1_championship_match_72583/infos;2024_2025;72583;Paris SG;Reims;47862
https://ligue1.com/fr/match-sheet/l1_championship_match_72584/infos;2024_2025;72584;Strasbourg;Lille;19428
https://ligue1.com/fr/match-sheet/l1_championship_match_72585/infos;2024_2025;72585;Toulouse;Montpellier;28382
https://ligue1.com/fr/match-sheet/l1_championship_match_72586/infos;2024_2025;72586;Angers;Le Havre;11267
https://ligue1.com/fr/match-sheet/l1_championship_match_72587/infos;2024_2025;72587;Brest;Paris SG;15040
https://ligue1.com/fr/match-sheet/l1_championship_match_72588/infos;2024_2025;72588;Lille;Saint Etienne;38924
https://ligue1.com/fr/match-sheet/l1_championship_match_72589/infos;2024_2025;72589;Marseille;Lyon;66096
https://ligue1.com/fr/match-sheet/l1_championship_match_72590/infos;2024_2025;72590;Monaco;Auxerre;5336
https://ligue1.com/fr/match-sheet/l1_championship_match_72591/infos;2024_2025;72591;Montpellier;Lens;15330
https://ligue1.com/fr/match-sheet/l1_championship_match_72592/infos;2024_2025;72592;Reims;Nantes;12712
https://ligue1.com/fr/match-sheet/l1_championship_match_72593/infos;2024_2025;72593;Rennes;Strasbourg;26621
https://ligue1.com/fr/match-sheet/l1_championship_match_72594/infos;2024_2025;72594;Toulouse;Nice;23516
https://ligue1.com/fr/match-sheet/l1_championship_match_72595/infos;2024_2025;72595;Angers;Marseille;17325
https://ligue1.com/fr/match-sheet/l1_championship_match_72596/infos;2024_2025;72596;Auxerre;Toulouse;15801
https://ligue1.com/fr/match-sheet/l1_championship_match_72597/infos;2024_2025;72597;Lille;Le Havre;39515
https://ligue1.com/fr/match-sheet/l1_championship_match_72598/infos;2024_2025;72598;Lyon;Reims;43489
https://ligue1.com/fr/match-sheet/l1_championship_match_72599/infos;2024_2025;72599;Nantes;Brest;25050
https://ligue1.com/fr/match-sheet/l1_championship_match_72600/infos;2024_2025;72600;Nice;Lens;22586
https://ligue1.com/fr/match-sheet/l1_championship_match_72601/infos;2024_2025;72601;Paris SG;Monaco;47926
https://ligue1.com/fr/match-sheet/l1_championship_match_72602/infos;2024_2025;72602;Saint Etienne;Rennes;30385
https://ligue1.com/fr/match-sheet/l1_championship_match_72603/infos;2024_2025;72603;Strasbourg;Montpellier;19042
https://ligue1.com/fr/match-sheet/l1_championship_match_72604/infos;2024_2025;72604;Brest;Auxerre;14539
https://ligue1.com/fr/match-sheet/l1_championship_match_72605/infos;2024_2025;72605;Le Havre;Nice;17739
https://ligue1.com/fr/match-sheet/l1_championship_match_72606/infos;2024_2025;72606;Lens;Strasbourg;38113
https://ligue1.com/fr/match-sheet/l1_championship_match_72607/infos;2024_2025;72607;Marseille;Saint Etienne;66199
https://ligue1.com/fr/match-sheet/l1_championship_match_72608/infos;2024_2025;72608;Monaco;Nantes;6080
https://ligue1.com/fr/match-sheet/l1_championship_match_72609/infos;2024_2025;72609;Montpellier;Lyon;16573
https://ligue1.com/fr/match-sheet/l1_championship_match_72610/infos;2024_2025;72610;Reims;Angers;11868
https://ligue1.com/fr/match-sheet/l1_championship_match_72611/infos;2024_2025;72611;Rennes;Lille;27627
https://ligue1.com/fr/match-sheet/l1_championship_match_72612/infos;2024_2025;72612;Toulouse;Paris SG;31695
https://ligue1.com/fr/match-sheet/l1_championship_match_72613/infos;2024_2025;72613;Auxerre;Marseille;17183
https://ligue1.com/fr/match-sheet/l1_championship_match_72614/infos;2024_2025;72614;Le Havre;Toulouse;17239
https://ligue1.com/fr/match-sheet/l1_championship_match_72615/infos;2024_2025;72615;Lille;Monaco;44177
https://ligue1.com/fr/match-sheet/l1_championship_match_72616/infos;2024_2025;72616;Lyon;Paris SG;57777
https://ligue1.com/fr/match-sheet/l1_championship_match_72617/infos;2024_2025;72617;Nantes;Lens;28169
https://ligue1.com/fr/match-sheet/l1_championship_match_72618/infos;2024_2025;72618;Nice;Montpellier;18519
https://ligue1.com/fr/match-sheet/l1_championship_match_72619/infos;2024_2025;72619;Rennes;Reims;26818
https://ligue1.com/fr/match-sheet/l1_championship_match_72620/infos;2024_2025;72620;Saint Etienne;Angers;30566
https://ligue1.com/fr/match-sheet/l1_championship_match_72621/infos;2024_2025;72621;Strasbourg;Brest;19108
https://ligue1.com/fr/match-sheet/l1_championship_match_72622/infos;2024_2025;72622;Angers;Toulouse;12758
https://ligue1.com/fr/match-sheet/l1_championship_match_72623/infos;2024_2025;72623;Auxerre;Strasbourg;16495
https://ligue1.com/fr/match-sheet/l1_championship_match_72624/infos;2024_2025;72624;Lens;Le Havre;38167
https://ligue1.com/fr/match-sheet/l1_championship_match_72625/infos;2024_2025;72625;Lyon;Brest;47804
https://ligue1.com/fr/match-sheet/l1_championship_match_72626/infos;2024_2025;72626;Marseille;Nantes;61874
https://ligue1.com/fr/match-sheet/l1_championship_match_72627/infos;2024_2025;72627;Monaco;Reims;5517
https://ligue1.com/fr/match-sheet/l1_championship_match_72628/infos;2024_2025;72628;Montpellier;Rennes;11990
https://ligue1.com/fr/match-sheet/l1_championship_match_72629/infos;2024_2025;72629;Paris SG;Lille;47838
https://ligue1.com/fr/match-sheet/l1_championship_match_72630/infos;2024_2025;72630;Saint Etienne;Nice;30070
https://ligue1.com/fr/match-sheet/l1_championship_match_72631/infos;2024_2025;72631;Brest;Angers;14612
https://ligue1.com/fr/match-sheet/l1_championship_match_72632/infos;2024_2025;72632;Le Havre;Saint Etienne;22239
https://ligue1.com/fr/match-sheet/l1_championship_match_72633/infos;2024_2025;72633;Lille;Montpellier;42467
https://ligue1.com/fr/match-sheet/l1_championship_match_72634/infos;2024_2025;72634;Marseille;Lens;64942
https://ligue1.com/fr/match-sheet/l1_championship_match_72635/infos;2024_2025;72635;Nantes;Strasbourg;27645
https://ligue1.com/fr/match-sheet/l1_championship_match_72636/infos;2024_2025;72636;Nice;Lyon;23840
