League,Season,Date,Team,Market Value,Roster Size,Window
Ligue 1,2025_2026,2025-09-15,Lens,84700000,28,Summer
Ligue 1,2025_2026,2025-09-15,Nice,175600000,29,Summer
Ligue 1,2025_2026,2025-09-15,Toulouse,78100000,32,Summer
Ligue 1,2025_2026,2025-09-15,Paris FC,91050000,29,Summer
Ligue 1,2025_2026,2025-09-15,Lorient,67950000,26,Summer
Ligue 1,2025_2026,2025-09-15,Nantes,66300000,26,Summer
Ligue 1,2025_2026,2025-09-15,Auxerre,61450000,27,Summer
Ligue 1,2025_2026,2025-09-15,Brest,79150000,24,Summer
Ligue 1,2025_2026,2025-09-15,Angers,25700000,27,Summer
Ligue 1,2025_2026,2025-09-15,Le Havre,44350000,26,Summer
Ligue 1,2025_2026,2025-09-15,Metz,50300000,27,Summer
Ligue 1,2025_2026,2026-02-15,Paris SG,1200000000,24,Winter
Ligue 1,2025_2026,2026-02-15,Monaco,359050000,28,Winter
Ligue 1,2025_2026,2026-02-15,Strasbourg,293750000,25,Winter
Ligue 1,2025_2026,2026-02-15,Marseille,400000000,24,Winter
Ligue 1,2025_2026,2026-02-15,Lyon,224750000,28,Winter
Ligue 1,2025_2026,2026-02-15,Lille,240500000,28,Winter
Ligue 1,2025_2026,2026-02-15,Rennes,190300000,23,Winter
Ligue 1,2025_2026,2026-02-15,Lens,119900000,28,Winter
Ligue 1,2025_2026,2026-02-15,Nice,146800000,27,Winter
Ligue 1,2025_2026,2026-02-15,Toulouse,107950000,25,Winter
Ligue 1,2025_2026,2026-02-15,Paris FC,121350000,31,Winter
Ligue 1,2025_2026,2026-02-15,Lorient,71050000,25,Winter
Ligue 1,2025_2026,2026-02-15,Nantes,89350000,28,Winter
Ligue 1,2025_2026,2026-02-15,Auxerre,69850000,29,Winter
Ligue 1,2025_2026,2026-02-15,Brest,81300000,23,Winter
Ligue 1,2025_2026,2026-02-15,Angers,41600000,24,Winter
Ligue 1,2025_2026,2026-02-15,Le Havre,54300000,27,Winter
Ligue 1,2025_2026,2026-02-15,Metz,46000000,26,Winter
Ligue 2,2023_2024,2023-09-15,Reims,87050000,23,Summer
Ligue 2,2023_2024,2023-09-15,Saint Etienne,34350000,24,Summer
Ligue 2,2023_2024,2023-09-15,Troyes,28700000,25,Summer
Ligue 2,2023_2024,2023-09-15,Dunkerque,8600000,26,Summer
Ligue 2,2023_2024,2023-09-15,Montpellier,87450000,24,Summer
Ligue 2,2023_2024,2023-09-15,Amiens,19480000,30,Summer
Ligue 2,2023_2024,2023-09-15,Pau,12000000,29,Summer
Ligue 2,2023_2024,2023-09-15,Rodez,10780000,25,Summer
Ligue 2,2023_2024,2023-09-15,Le Mans,5530000,26,Summer
Ligue 2,2023_2024,2023-09-15,Clermont,51050000,24,Summer
Ligue 2,2023_2024,2023-09-15,Red Star,6630000,23,Summer
Ligue 2,2023_2024,2023-09-15,Guingamp,16500000,31,Summer
Ligue 2,2023_2024,2023-09-15,Nancy,4700000,20,Summer
Ligue 2,2023_2024,2023-09-15,Bastia,12200000,27,Summer
Ligue 2,2023_2024,2023-09-15,Grenoble,12150000,25,Summer
Ligue 2,2023_2024,2023-09-15,Annecy,9700000,27,Summer
Ligue 2,2023_2024,2023-09-15,Laval,8550000,26,Summer
Ligue 2,2023_2024,2023-09-15,Boulogne,N/A,23,Summer
Ligue 2,2023_2024,2024-02-15,Reims,114450000,25,Winter
Ligue 2,2023_2024,2024-02-15,Saint Etienne,32250000,24,Winter
Ligue 2,2023_2024,2024-02-15,Troyes,31950000,31,Winter
Ligue 2,2023_2024,2024-02-15,Dunkerque,12730000,30,Winter
Ligue 2,2023_2024,2024-02-15,Montpellier,97000000,24,Winter
Ligue 2,2023_2024,2024-02-15,Amiens,21080000,29,Winter
Ligue 2,2023_2024,2024-02-15,Pau,13350000,29,Winter
Ligue 2,2023_2024,2024-02-15,Rodez,12600000,26,Winter
Ligue 2,2023_2024,2024-02-15,Le Mans,5250000,24,Winter
Ligue 2,2023_2024,2024-02-15,Clermont,51450000,25,Winter
Ligue 2,2023_2024,2024-02-15,Red Star,6530000,23,Winter
Ligue 2,2023_2024,2024-02-15,Guingamp,17400000,32,Winter
Ligue 2,2023_2024,2024-02-15,Nancy,5800000,24,Winter
Ligue 2,2023_2024,2024-02-15,Bastia,13000000,25,Winter
Ligue 2,2023_2024,2024-02-15,Grenoble,14300000,27,Winter
Ligue 2,2023_2024,2024-02-15,Annecy,12650000,29,Winter
Ligue 2,2023_2024,2024-02-15,Laval,10700000,27,Winter
Ligue 2,2023_2024,2024-02-15,Boulogne,N/A,21,Winter
Ligue 2,2024_2025,2024-09-15,Reims,118850000,25,Summer
Ligue 2,2024_2025,2024-09-15,Saint Etienne,44650000,27,Summer
Ligue 2,2024_2025,2024-09-15,Troyes,17550000,24,Summer
Ligue 2,2024_2025,2024-09-15,Dunkerque,8780000,23,Summer
Ligue 2,2024_2025,2024-09-15,Montpellier,93300000,26,Summer
Ligue 2,2024_2025,2024-09-15,Amiens,12900000,26,Summer
Ligue 2,2024_2025,2024-09-15,Pau,10550000,27,Summer
Ligue 2,2024_2025,2024-09-15,Rodez,9250000,25,Summer
Ligue 2,2024_2025,2024-09-15,Le Mans,3730000,26,Summer
Ligue 2,2024_2025,2024-09-15,Clermont,13300000,29,Summer
Ligue 2,2024_2025,2024-09-15,Red Star,10750000,28,Summer
Ligue 2,2024_2025,2024-09-15,Guingamp,11180000,25,Summer
Ligue 2,2024_2025,2024-09-15,Nancy,4900000,26,Summer
Ligue 2,2024_2025,2024-09-15,Bastia,10100000,29,Summer
Ligue 2,2024_2025,2024-09-15,Grenoble,12700000,28,Summer
Ligue 2,2024_2025,2024-09-15,Annecy,7300000,24,Summer
Ligue 2,2024_2025,2024-09-15,Laval,8930000,24,Summer
Ligue 2,2024_2025,2024-09-15,Boulogne,N/A,23,Summer
Ligue 2,2024_2025,2025-02-15,Reims,116400000,25,Winter
Ligue 2,2024_2025,2025-02-15,Saint Etienne,52700000,27,Winter
Ligue 2,2024_2025,2025-02-15,Troyes,17830000,25,Winter
Ligue 2,2024_2025,2025-02-15,Dunkerque,16780000,27,Winter
Ligue 2,2024_2025,2025-02-15,Montpellier,62550000,25,Winter
Ligue 2,2024_2025,2025-02-15,Amiens,9550000,23,Winter
Ligue 2,2024_2025,2025-02-15,Pau,11780000,25,Winter
Ligue 2,2024_2025,2025-02-15,Rodez,13500000,26,Winter
Ligue 2,2024_2025,2025-02-15,Le Mans,3730000,28,Winter
Ligue 2,2024_2025,2025-02-15,Clermont,14000000,27,Winter
Ligue 2,2024_2025,2025-02-15,Red Star,10300000,27,Winter
Ligue 2,2024_2025,2025-02-15,Guingamp,14750000,26,Winter
Ligue 2,2024_2025,2025-02-15,Nancy,5400000,24,Winter
Ligue 2,2024_2025,2025-02-15,Bastia,11800000,26,Winter
Ligue 2,2024_2025,2025-02-15,Grenoble,10800000,25,Winter
Ligue 2,2024_2025,2025-02-15,Annecy,8250000,25,Winter
Ligue 2,2024_2025,2025-02-15,Laval,11050000,26,Winter
Ligue 2,2024_2025,2025-02-15,Boulogne,3100000,24,Winter
Ligue 2,2025_2026,2025-09-15,Reims,55330000,28,Summer
Ligue 2,2025_2026,2025-09-15,Saint Etienne,68300000,26,Summer
Ligue 2,2025_2026,2025-09-15,Troyes,11530000,27,Summer
Ligue 2,2025_2026,2025-09-15,Dunkerque,12300000,24,Summer
Ligue 2,2025_2026,2025-09-15,Montpellier,25400000,25,Summer
Ligue 2,2025_2026,2025-09-15,Amiens,11950000,25,Summer
Ligue 2,2025_2026,2025-09-15,Pau,7950000,23,Summer
Ligue 2,2025_2026,2025-09-15,Rodez,8950000,28,Summer
Ligue 2,2025_2026,2025-09-15,Le Mans,6430000,26,Summer
Ligue 2,2025_2026,2025-09-15,Clermont,9900000,25,Summer
Ligue 2,2025_2026,2025-09-15,Red Star,13780000,28,Summer
Ligue 2,2025_2026,2025-09-15,Guingamp,16350000,24,Summer
Ligue 2,2025_2026,2025-09-15,Nancy,7850000,22,Summer
Ligue 2,2025_2026,2025-09-15,Bastia,13800000,24,Summer
Ligue 2,2025_2026,2025-09-15,Grenoble,12800000,28,Summer
Ligue 2,2025_2026,2025-09-15,Annecy,7500000,28,Summer
Ligue 2,2025_2026,2025-09-15,Laval,8850000,23,Summer
Ligue 2,2025_2026,2025-09-15,Boulogne,3630000,27,Summer
Ligue 2,2025_2026,2026-02-15,Reims,56100000,24,Winter
Ligue 2,2025_2026,2026-02-15,Saint Etienne,67250000,29,Winter
Ligue 2,2025_2026,2026-02-15,Troyes,25250000,28,Winter
Ligue 2,2025_2026,2026-02-15,Dunkerque,17000000,28,Winter
Ligue 2,2025_2026,2026-02-15,Montpellier,21600000,24,Winter
Ligue 2,2025_2026,2026-02-15,Amiens,21700000,28,Winter
Ligue 2,2025_2026,2026-02-15,Pau,13200000,23,Winter
Ligue 2,2025_2026,2026-02-15,Rodez,9950000,26,Winter
Ligue 2,2025_2026,2026-02-15,Le Mans,8480000,27,Winter
Ligue 2,2025_2026,2026-02-15,Clermont,13200000,26,Winter
Ligue 2,2025_2026,2026-02-15,Red Star,15900000,25,Winter
Ligue 2,2025_2026,2026-02-15,Guingamp,16550000,25,Winter
Ligue 2,2025_2026,2026-02-15,Nancy,11230000,31,Winter
Ligue 2,2025_2026,2026-02-15,Bastia,12250000,28,Winter
Ligue 2,2025_2026,2026-02-15,Grenoble,11150000,24,Winter
Ligue 2,2025_2026,2026-02-15,Annecy,9000000,31,Winter
Ligue 2,2025_2026,2026-02-15,Laval,10230000,24,Winter
Ligue 2,2025_2026,2026-02-15,Boulogne,6900000,27,Winter
